"","Date","Month","Day","Year","Hour","DayofWeek","Weekday","Peakhour","Temp","kWh"
"82","5/29/16",5,29,2016,0,7,0,0,71,39.5641858380321
"83","5/29/16",5,29,2016,1,7,0,0,71,39.5641858380321
"84","5/29/16",5,29,2016,2,7,0,0,70,39.5641858380321
"85","5/29/16",5,29,2016,3,7,0,0,69,39.5641858380321
"86","5/29/16",5,29,2016,4,7,0,0,67,39.5641858380321
"87","5/29/16",5,29,2016,5,7,0,0,66,39.5641858380321
"88","5/29/16",5,29,2016,6,7,0,0,65,39.5641858380321
"89","5/29/16",5,29,2016,7,7,0,1,66,77.6815353163225
"90","5/29/16",5,29,2016,8,7,0,1,67,77.6815353163225
"91","5/29/16",5,29,2016,9,7,0,1,67,77.6815353163225
"92","5/29/16",5,29,2016,10,7,0,1,67,77.6815353163225
"93","5/29/16",5,29,2016,11,7,0,1,66,77.6815353163225
"94","5/29/16",5,29,2016,12,7,0,1,66,77.6815353163225
"95","5/29/16",5,29,2016,13,7,0,1,66,77.6815353163225
"96","5/29/16",5,29,2016,14,7,0,1,65,77.6815353163225
"97","5/29/16",5,29,2016,15,7,0,1,66,77.6815353163225
"98","5/29/16",5,29,2016,16,7,0,1,65,77.6815353163225
"99","5/29/16",5,29,2016,17,7,0,1,64,77.6815353163225
"100","5/29/16",5,29,2016,18,7,0,1,64,77.6815353163225
"101","5/29/16",5,29,2016,19,7,0,1,63,77.6815353163225
"102","5/29/16",5,29,2016,20,7,0,0,62,39.5641858380321
"103","5/29/16",5,29,2016,21,7,0,0,61,39.5641858380321
"104","5/29/16",5,29,2016,22,7,0,0,60,39.5641858380321
"105","5/29/16",5,29,2016,23,7,0,0,60,39.5641858380321
"106","5/30/16",5,30,2016,0,1,1,0,60,39.5641858380321
"107","5/30/16",5,30,2016,1,1,1,0,59,39.5641858380321
"108","5/30/16",5,30,2016,2,1,1,0,59,39.5641858380321
"109","5/30/16",5,30,2016,3,1,1,0,59,39.5641858380321
"110","5/30/16",5,30,2016,4,1,1,0,59,39.5641858380321
"111","5/30/16",5,30,2016,5,1,1,0,59,39.5641858380321
"112","5/30/16",5,30,2016,6,1,1,0,59,39.5641858380321
"113","5/30/16",5,30,2016,7,1,1,1,61,77.6815353163225
"114","5/30/16",5,30,2016,8,1,1,1,64,77.6815353163225
"115","5/30/16",5,30,2016,9,1,1,1,66,77.6815353163225
"116","5/30/16",5,30,2016,10,1,1,1,66,77.6815353163225
"117","5/30/16",5,30,2016,11,1,1,1,67,77.6815353163225
"118","5/30/16",5,30,2016,12,1,1,1,68,77.6815353163225
"119","5/30/16",5,30,2016,13,1,1,1,69,77.6815353163225
"120","5/30/16",5,30,2016,14,1,1,1,71,77.6815353163225
"121","5/30/16",5,30,2016,15,1,1,1,72,77.6815353163225
"122","5/30/16",5,30,2016,16,1,1,1,72,77.6815353163225
"123","5/30/16",5,30,2016,17,1,1,1,72,77.6815353163225
"124","5/30/16",5,30,2016,18,1,1,1,72,77.6815353163225
"125","5/30/16",5,30,2016,19,1,1,1,70,77.6815353163225
"126","5/30/16",5,30,2016,20,1,1,0,70,39.5641858380321
"127","5/30/16",5,30,2016,21,1,1,0,68,39.5641858380321
"128","5/30/16",5,30,2016,22,1,1,0,67,39.5641858380321
"129","5/30/16",5,30,2016,23,1,1,0,66,39.5641858380321
"130","5/31/16",5,31,2016,0,2,1,0,66,39.5641858380321
"131","5/31/16",5,31,2016,1,2,1,0,65,39.5641858380321
"132","5/31/16",5,31,2016,2,2,1,0,65,39.5641858380321
"133","5/31/16",5,31,2016,3,2,1,0,64,39.5641858380321
"134","5/31/16",5,31,2016,4,2,1,0,64,39.5641858380321
"135","5/31/16",5,31,2016,5,2,1,0,64,39.5641858380321
"136","5/31/16",5,31,2016,6,2,1,0,64,39.5641858380321
"137","5/31/16",5,31,2016,7,2,1,1,66,77.6815353163225
"138","5/31/16",5,31,2016,8,2,1,1,69,77.6815353163225
"139","5/31/16",5,31,2016,9,2,1,1,71,77.6815353163225
"140","5/31/16",5,31,2016,10,2,1,1,71,77.6815353163225
"141","5/31/16",5,31,2016,11,2,1,1,72,77.6815353163225
"142","5/31/16",5,31,2016,12,2,1,1,74,77.6815353163225
"143","5/31/16",5,31,2016,13,2,1,1,75,77.6815353163225
"144","5/31/16",5,31,2016,14,2,1,1,76,77.6815353163225
"145","5/31/16",5,31,2016,15,2,1,1,76,77.6815353163225
"146","5/31/16",5,31,2016,16,2,1,1,78,77.6815353163225
"147","5/31/16",5,31,2016,17,2,1,1,78,77.6815353163225
"148","5/31/16",5,31,2016,18,2,1,1,76,77.6815353163225
"149","5/31/16",5,31,2016,19,2,1,1,74,77.6815353163225
"150","5/31/16",5,31,2016,20,2,1,0,72,39.5641858380321
"151","5/31/16",5,31,2016,21,2,1,0,70,39.5641858380321
"152","5/31/16",5,31,2016,22,2,1,0,70,39.5641858380321
"153","5/31/16",5,31,2016,23,2,1,0,69,39.5641858380321
