"","Month","Day","Year","Hour","DayofWeek","Weekday","Peakhour","Temp","kWh"
"100",5,29,2016,18,7,0,1,64,61.1256840976238
"101",5,29,2016,19,7,0,1,63,61.1256840975019
"102",5,29,2016,20,7,0,0,62,61.1256840973595
"103",5,29,2016,21,7,0,0,61,61.1256840973521
"104",5,29,2016,22,7,0,0,60,61.1256840973479
"105",5,29,2016,23,7,0,0,60,61.1256840973571
"106",5,30,2016,0,1,1,0,60,61.1318746923979
"107",5,30,2016,1,1,1,0,59,61.125793294131
"108",5,30,2016,2,1,1,0,59,61.1256875356979
"109",5,30,2016,3,1,1,0,59,61.1256842056087
"110",5,30,2016,4,1,1,0,59,61.1256841007521
"111",5,30,2016,5,1,1,0,59,61.1256840974514
"112",5,30,2016,6,1,1,0,59,61.1256840973502
"113",5,30,2016,7,1,1,1,61,61.1256840987422
"114",5,30,2016,8,1,1,1,64,61.1256844870145
"115",5,30,2016,9,1,1,1,66,61.125707143326
"116",5,30,2016,10,1,1,1,66,61.1257455984891
"117",5,30,2016,11,1,1,1,67,61.1264567201875
"118",5,30,2016,12,1,1,1,68,61.1353883008072
"119",5,30,2016,13,1,1,1,69,61.2472454377961
"120",5,30,2016,14,1,1,1,71,67.2654383448209
"121",5,30,2016,15,1,1,1,72,96.5812263600971
"122",5,30,2016,16,1,1,1,72,106.809714499794
"123",5,30,2016,17,1,1,1,72,111.870816031436
"124",5,30,2016,18,1,1,1,72,113.984327660459
"125",5,30,2016,19,1,1,1,70,105.593870200585
"126",5,30,2016,20,1,1,0,70,98.488344216353
"127",5,30,2016,21,1,1,0,68,71.0483593636461
"128",5,30,2016,22,1,1,0,67,67.2333285421381
"129",5,30,2016,23,1,1,0,66,64.8057393002226
"130",5,31,2016,0,2,1,0,66,61.6787713827168
"131",5,31,2016,1,2,1,0,65,61.135334193213
"132",5,31,2016,2,2,1,0,65,61.1259878964717
"133",5,31,2016,3,2,1,0,64,61.125689456766
"134",5,31,2016,4,2,1,0,64,61.1256842661068
"135",5,31,2016,5,2,1,0,64,61.1256841026782
"136",5,31,2016,6,2,1,0,64,61.1256840975687
"137",5,31,2016,7,2,1,1,66,61.1256841157399
"138",5,31,2016,8,2,1,1,69,61.1256892164664
"139",5,31,2016,9,2,1,1,71,61.1259868502548
"140",5,31,2016,10,2,1,1,71,61.126492022391
"141",5,31,2016,11,2,1,1,72,61.1358315925415
"142",5,31,2016,12,2,1,1,74,61.7167528816388
"143",5,31,2016,13,2,1,1,75,67.5093519702335
"144",5,31,2016,14,2,1,1,76,97.1704645885144
"145",5,31,2016,15,2,1,1,76,107.138022995076
"146",5,31,2016,16,2,1,1,78,115.157548762736
"147",5,31,2016,17,2,1,1,78,115.254670553149
"148",5,31,2016,18,2,1,1,76,114.831363448314
"149",5,31,2016,19,2,1,1,74,111.495143174818
"150",5,31,2016,20,2,1,0,72,71.4245455076013
"151",5,31,2016,21,2,1,0,70,62.6543503967803
"152",5,31,2016,22,2,1,0,70,64.958401035606
"153",5,31,2016,23,2,1,0,69,63.392002119239
